"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Skin_Friction_Coefficient_z","Heat_Flux","Y_Plus","Eddy_Viscosity"
428, 1.048500911357331e+00, 0.000000000000000e+00, -1.190395211262581e-01, 1.082151989867763e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.088736137091816e+05, 0.000000000000000e+00, 8.354944548367261e+04, 2.689587358050798e+02, 0.000000000000000e+00, -8.271207421432903e+00, 1.695180141488595e-05, 1.895526912344114e+01, -5.548764315746632e-04, -4.303361001899974e+01, 6.640131097598733e+02, 4.533637791660115e+00, 0.000000000000000e+00
429, 1.049228508454266e+00, 0.000000000000000e+00, -1.199040460629228e-01, 1.081705092387057e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.087514354149133e+05, 0.000000000000000e+00, 8.350057416596533e+04, 2.689124644598130e+02, 0.000000000000000e+00, -8.287259944467037e+00, 1.694949442374620e-05, 1.861469860162633e+01, -5.559831416685342e-04, -4.291787612532460e+01, 6.727559941084551e+02, 4.520166395180532e+00, 0.000000000000000e+00
430, 1.049953029862088e+00, 0.000000000000000e+00, -1.207711483501053e-01, 1.081245952079905e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.086259341287713e+05, 0.000000000000000e+00, 8.345037365150849e+04, 2.688649167289561e+02, 0.000000000000000e+00, -8.303749062265547e+00, 1.694712360044418e-05, 1.826365244020516e+01, -5.571200975922495e-04, -4.279587650734150e+01, 6.817247367066318e+02, 4.506185262240413e+00, 0.000000000000000e+00
431, 1.050674363797816e+00, 0.000000000000000e+00, -1.216409102863034e-01, 1.080774187277642e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.084970086963736e+05, 0.000000000000000e+00, 8.339880347854942e+04, 2.688160538819134e+02, 0.000000000000000e+00, -8.320688065102713e+00, 1.694468699765161e-05, 1.790174664588203e+01, -5.582883491078920e-04, -4.266719309334039e+01, 6.909189841883565e+02, 4.491667827206750e+00, 0.000000000000000e+00
432, 1.051392387850350e+00, 0.000000000000000e+00, -1.225134030397930e-01, 1.080290003731008e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.083647144038254e+05, 0.000000000000000e+00, 8.334588576153014e+04, 2.687658926064035e+02, 0.000000000000000e+00, -8.338069689155779e+00, 1.694218543078994e-05, 1.752903662717644e+01, -5.594873179786312e-04, -4.253155550429022e+01, 7.003435903255050e+02, 4.476604537990421e+00, 0.000000000000000e+00
433, 1.052106985205475e+00, 0.000000000000000e+00, -1.233887045076897e-01, 1.079793715502569e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.082291367568420e+05, 0.000000000000000e+00, 8.329165470273676e+04, 2.687144616112916e+02, 0.000000000000000e+00, -8.355882700166866e+00, 1.693962031470143e-05, 1.714565543368508e+01, -5.607164325557688e-04, -4.238872244887921e+01, 7.099947799946513e+02, 4.460988927173424e+00, 0.000000000000000e+00
434, 1.052818036226186e+00, 0.000000000000000e+00, -1.242668891468745e-01, 1.079285631733654e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.080903659080225e+05, 0.000000000000000e+00, 8.323614636320897e+04, 2.686617968558010e+02, 0.000000000000000e+00, -8.374115253342401e+00, 1.693699342596848e-05, 1.675173226536076e+01, -5.619744384846894e-04, -4.223840559476089e+01, 7.198641537925356e+02, 4.444812114941197e+00, 0.000000000000000e+00
435, 1.053525420341320e+00, 0.000000000000000e+00, -1.251480301906577e-01, 1.078766094796691e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.079484954310622e+05, 0.000000000000000e+00, 8.317939817242489e+04, 2.686079304894606e+02, 0.000000000000000e+00, -8.392755054404512e+00, 1.693430635136857e-05, 1.634742145543840e+01, -5.632606984343262e-04, -4.208035347545372e+01, 7.299457563152260e+02, 4.428067236245696e+00, 0.000000000000000e+00
436, 1.054229015845177e+00, 0.000000000000000e+00, -1.260321993376405e-01, 1.078235448030358e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.078036196973007e+05, 0.000000000000000e+00, 8.312144787892025e+04, 2.685528955042988e+02, 0.000000000000000e+00, -8.411789704276034e+00, 1.693156071992460e-05, 1.593287552121450e+01, -5.645742471608857e-04, -4.191429986294155e+01, 7.402407398009379e+02, 4.410746382100932e+00, 0.000000000000000e+00
437, 1.054928700033128e+00, 0.000000000000000e+00, -1.269194668479772e-01, 1.077693826932990e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.076557674426427e+05, 0.000000000000000e+00, 8.306230697705707e+04, 2.684966918691711e+02, 0.000000000000000e+00, -8.431215427460018e+00, 1.692875651319233e-05, 1.550804614120570e+01, -5.659141755871379e-04, -4.173993232262389e+01, 7.507905857667779e+02, 4.392833988527116e+00, 0.000000000000000e+00
438, 1.055624346515546e+00, 0.000000000000000e+00, -1.278099035033562e-01, 1.077139143018188e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.075043765162046e+05, 0.000000000000000e+00, 8.300175060648183e+04, 2.684391093562053e+02, 0.000000000000000e+00, -8.451106082738539e+00, 1.692588322330160e-05, 1.507112777805648e+01, -5.672855876231114e-04, -4.155613483504637e+01, 7.616167372471084e+02, 4.374237525756778e+00, 0.000000000000000e+00
439, 1.056315792057487e+00, 0.000000000000000e+00, -1.287036061015650e-01, 1.076567928508050e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.073485223811704e+05, 0.000000000000000e+00, 8.293940895246815e+04, 2.683798115620598e+02, 0.000000000000000e+00, -8.471583141348555e+00, 1.692292404074089e-05, 1.461925426510419e+01, -5.686979220646930e-04, -4.136115391578072e+01, 7.727062752194080e+02, 4.354811486016750e+00, 0.000000000000000e+00
440, 1.057002846067832e+00, 0.000000000000000e+00, -1.296006890702881e-01, 1.075978936277128e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.071878640231058e+05, 0.000000000000000e+00, 8.287514560924230e+04, 2.683186623890205e+02, 0.000000000000000e+00, -8.492691407828335e+00, 1.691987214593473e-05, 1.415128115092763e+01, -5.701544668846008e-04, -4.115388283155541e+01, 7.840868873109598e+02, 4.334478909205848e+00, 0.000000000000000e+00
441, 1.057685315222508e+00, 0.000000000000000e+00, -1.305012648326554e-01, 1.075372648914968e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.070225275135421e+05, 0.000000000000000e+00, 8.280901100541682e+04, 2.682556987395971e+02, 0.000000000000000e+00, -8.514414318137828e+00, 1.691672935121622e-05, 1.366739595476438e+01, -5.716537491850828e-04, -4.093377334144171e+01, 7.957810558140538e+02, 4.313218633675281e+00, 0.000000000000000e+00
442, 1.058363003930180e+00, 0.000000000000000e+00, -1.314054431699040e-01, 1.074749710000520e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.068526911648421e+05, 0.000000000000000e+00, 8.274107646593683e+04, 2.681909850935017e+02, 0.000000000000000e+00, -8.536728444520660e+00, 1.691349884557261e-05, 1.316790333934991e+01, -5.731941075760758e-04, -4.070029982050447e+01, 8.077793634761741e+02, 4.291012868405453e+00, 0.000000000000000e+00
443, 1.059035714498052e+00, 0.000000000000000e+00, -1.323133313202250e-01, 1.074110805227101e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.066785455523532e+05, 0.000000000000000e+00, 8.267141822094127e+04, 2.681245914641909e+02, 0.000000000000000e+00, -8.559608748035414e+00, 1.691018409490316e-05, 1.265313695856551e+01, -5.747738854888214e-04, -4.045292264885612e+01, 8.200636466828219e+02, 4.267843006679863e+00, 0.000000000000000e+00
444, 1.059703246834118e+00, 0.000000000000000e+00, -1.332250334338871e-01, 1.073456697115422e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.065003100375454e+05, 0.000000000000000e+00, 8.260012401501814e+04, 2.680566062294362e+02, 0.000000000000000e+00, -8.583026407645825e+00, 1.690678948296947e-05, 1.212351747171731e+01, -5.763918298928674e-04, -4.019107650252961e+01, 8.325698993484341e+02, 4.243690728656882e+00, 0.000000000000000e+00
445, 1.060365398640895e+00, 0.000000000000000e+00, -1.341406506578215e-01, 1.072789722587330e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.063186599520990e+05, 0.000000000000000e+00, 8.252746398083960e+04, 2.679873170037101e+02, 0.000000000000000e+00, -8.606892694192426e+00, 1.690332934493741e-05, 1.158091344836149e+01, -5.780443024034265e-04, -3.991475196917452e+01, 8.450933484518783e+02, 4.218596798304095e+00, 0.000000000000000e+00
446, 1.061021989336175e+00, 0.000000000000000e+00, -1.350602638576739e-01, 1.072120864840510e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.061365483121812e+05, 0.000000000000000e+00, 8.245461932487246e+04, 2.679178122877574e+02, 0.000000000000000e+00, -8.630819622556217e+00, 1.689985802407404e-05, 1.103425358836145e+01, -5.797035827664659e-04, -3.962799576692207e+01, 8.575710327646593e+02, 4.192943135470753e+00, 0.000000000000000e+00
447, 1.061672993509220e+00, 0.000000000000000e+00, -1.359838402919591e-01, 1.071463010675669e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.059574275570324e+05, 0.000000000000000e+00, 8.238297102281293e+04, 2.678493597499171e+02, 0.000000000000000e+00, -8.654353590395106e+00, 1.689643883985587e-05, 1.049395306958200e+01, -5.813345157614568e-04, -3.933637577208312e+01, 8.700048828100819e+02, 4.167214227735212e+00, 0.000000000000000e+00
448, 1.062318449160335e+00, 0.000000000000000e+00, -1.369113029333202e-01, 1.070820135888353e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.057824131361908e+05, 0.000000000000000e+00, 8.231296525447629e+04, 2.677824207274952e+02, 0.000000000000000e+00, -8.677348043204358e+00, 1.689309485882409e-05, 9.963279600800535e+00, -5.829269921535928e-04, -3.904190502561028e+01, 8.822310918084307e+02, 4.141572214989190e+00, 0.000000000000000e+00
449, 1.062958395331773e+00, 0.000000000000000e+00, -1.378425756810121e-01, 1.070191934646772e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.056115404132767e+05, 0.000000000000000e+00, 8.224461616531064e+04, 2.677171233104144e+02, 0.000000000000000e+00, -8.699798334697732e+00, 1.688983250738593e-05, 9.442340647849516e+00, -5.844795225349267e-04, -3.874490563954063e+01, 8.940287018652824e+02, 4.116027322030728e+00, 0.000000000000000e+00
450, 1.063592871892796e+00, 0.000000000000000e+00, -1.387775834932441e-01, 1.069579094570228e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.054446724384330e+05, 0.000000000000000e+00, 8.217786897537320e+04, 2.676531225893564e+02, 0.000000000000000e+00, -8.721722458175474e+00, 1.688663457851562e-05, 8.931015901606706e+00, -5.860009589672209e-04, -3.844558517566840e+01, 9.058010592197445e+02, 4.090585632453109e+00, 0.000000000000000e+00
451, 1.064221919495804e+00, 0.000000000000000e+00, -1.397162523957916e-01, 1.068980407281409e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.052817982883923e+05, 0.000000000000000e+00, 8.211271931535690e+04, 2.675907117994234e+02, 0.000000000000000e+00, -8.743121848802545e+00, 1.688351574844362e-05, 8.429262233265367e+00, -5.874841252403000e-04, -3.814419005089662e+01, 9.171530121579719e+02, 4.065246323493257e+00, 0.000000000000000e+00
